runs,opponent,ground,date,match,Match_No,total
115,Australia,Adelaide,2014-12-09,Test,216,9150
141,Australia,Adelaide,2014-12-09,Test,217,9291
19,Australia,Brisbane,2014-12-17,Test,218,9310
1,Australia,Brisbane,2014-12-17,Test,219,9311
169,Australia,Melbourne,2014-12-26,Test,220,9480
54,Australia,Melbourne,2014-12-26,Test,221,9534
147,Australia,Sydney,2015-01-06,Test,222,9681
46,Australia,Sydney,2015-01-06,Test,223,9727
9,Australia,Melbourne,2015-01-18,ODI,224,9736
4,England,Brisbane,2015-01-20,ODI,225,9740
3,Australia,Sydney,2015-01-26,ODI,226,9743
8,England,Perth,2015-01-30,ODI,227,9751
107,Pakistan,Adelaide,2015-02-15,ODI,228,9858
46,SouthAfrica,Melbourne,2015-02-22,ODI,229,9904
33,U.A.E.,Perth,2015-02-28,ODI,230,9937
33,WestIndies,Perth,2015-03-06,ODI,231,9970
44,Ireland,Hamilton,2015-03-10,ODI,232,10014
38,Zimbabwe,Auckland,2015-03-14,ODI,233,10052
3,Bangladesh,Melbourne,2015-03-19,ODI,234,10055
1,Australia,Sydney,2015-03-26,ODI,235,10056
14,Bangladesh,Fatullah,2015-06-10,Test,236,10070
1,Bangladesh,Mirpur,2015-06-18,ODI,237,10071
23,Bangladesh,Mirpur,2015-06-21,ODI,238,10094
25,Bangladesh,Mirpur,2015-06-24,ODI,239,10119
103,SriLanka,Galle,2015-08-12,Test,240,10222
3,SriLanka,Galle,2015-08-12,Test,241,10225
78,SriLanka,Colombo(PSS),2015-08-20,Test,242,10303
10,SriLanka,Colombo(PSS),2015-08-20,Test,243,10313
18,SriLanka,Colombo(SSC),2015-08-28,Test,244,10331
21,SriLanka,Colombo(SSC),2015-08-28,Test,245,10352
43,SouthAfrica,Dharamsala,2015-10-02,T20,246,10395
1,SouthAfrica,Cuttack,2015-10-05,T20,247,10396
11,SouthAfrica,Kanpur,2015-10-11,ODI,248,10407
12,SouthAfrica,Indore,2015-10-14,ODI,249,10419
77,SouthAfrica,Rajkot,2015-10-18,ODI,250,10496
138,SouthAfrica,Chennai,2015-10-22,ODI,251,10634
7,SouthAfrica,Wankhede,2015-10-25,ODI,252,10641
1,SouthAfrica,Mohali,2015-11-05,Test,253,10642
29,SouthAfrica,Mohali,2015-11-05,Test,254,10671
22,SouthAfrica,Nagpur,2015-11-25,Test,255,10693
16,SouthAfrica,Nagpur,2015-11-25,Test,256,10709
44,SouthAfrica,Delhi,2015-12-03,Test,257,10753
88,SouthAfrica,Delhi,2015-12-03,Test,258,10841
91,Australia,Perth,2016-01-12,ODI,259,10932
59,Australia,Brisbane,2016-01-15,ODI,260,10991
117,Australia,Melbourne,2016-01-17,ODI,261,11108
106,Australia,Canberra,2016-01-20,ODI,262,11214
8,Australia,Sydney,2016-01-23,ODI,263,11222
90,Australia,Adelaide,2016-01-26,T20,264,11312
59,Australia,Melbourne,2016-01-29,T20,265,11371
50,Australia,Sydney,2016-01-31,T20,266,11421
7,Bangladesh,Mirpur,2016-02-24,T20,267,11428
49,Pakistan,Mirpur,2016-02-27,T20,268,11477
56,SriLanka,Mirpur,2016-03-01,T20,269,11533
41,Bangladesh,Mirpur,2016-03-06,T20,270,11574
23,NewZealand,Nagpur,2016-03-15,T20,271,11597
55,Pakistan,Kolkata,2016-03-19,T20,272,11652
24,Bangladesh,Bengaluru,2016-03-23,T20,273,11676
82,Australia,Mohali,2016-03-27,T20,274,11758
89,WestIndies,Wankhede,2016-03-31,T20,275,11847
200,WestIndies,NorthSound,2016-07-21,Test,276,12047
44,WestIndies,Kingston,2016-07-30,Test,277,12091
3,WestIndies,GrosIslet,2016-08-09,Test,278,12094
4,WestIndies,GrosIslet,2016-08-09,Test,279,12098
16,WestIndies,Lauderhill,2016-08-27,T20,280,12114
9,NewZealand,Kanpur,2016-09-22,Test,281,12123
18,NewZealand,Kanpur,2016-09-22,Test,282,12141
9,NewZealand,Kolkata,2016-09-30,Test,283,12150
45,NewZealand,Kolkata,2016-09-30,Test,284,12195
211,NewZealand,Indore,2016-10-08,Test,285,12406
17,NewZealand,Indore,2016-10-08,Test,286,12423
85,NewZealand,Dharamsala,2016-10-16,ODI,287,12508
9,NewZealand,Delhi,2016-10-20,ODI,288,12517
154,NewZealand,Mohali,2016-10-23,ODI,289,12671
45,NewZealand,Ranchi,2016-10-26,ODI,290,12716
65,NewZealand,Visakhapatnam,2016-10-29,ODI,291,12781
40,England,Rajkot,2016-11-09,Test,292,12821
49,England,Rajkot,2016-11-09,Test,293,12870
167,England,Visakhapatnam,2016-11-17,Test,294,13037
81,England,Visakhapatnam,2016-11-17,Test,295,13118
62,England,Mohali,2016-11-26,Test,296,13180
6,England,Mohali,2016-11-26,Test,297,13186
235,England,Wankhede,2016-12-08,Test,298,13421
15,England,Chennai,2016-12-16,Test,299,13436
122,England,Pune,2017-01-15,ODI,300,13558
8,England,Cuttack,2017-01-19,ODI,301,13566
55,England,Kolkata,2017-01-22,ODI,302,13621
29,England,Kanpur,2017-01-26,T20,303,13650
21,England,Nagpur,2017-01-29,T20,304,13671
2,England,Bengaluru,2017-02-01,T20,305,13673
204,Bangladesh,Hyderabad(Deccan),2017-02-09,Test,306,13877
38,Bangladesh,Hyderabad(Deccan),2017-02-09,Test,307,13915
0,Australia,Pune,2017-02-23,Test,308,13915
13,Australia,Pune,2017-02-23,Test,309,13928
12,Australia,Bengaluru,2017-03-04,Test,310,13940
15,Australia,Bengaluru,2017-03-04,Test,311,13955
6,Australia,Ranchi,2017-03-16,Test,312,13961
81,Pakistan,Birmingham,2017-06-04,ODI,313,14042
0,SriLanka,TheOval,2017-06-08,ODI,314,14042
76,SouthAfrica,TheOval,2017-06-11,ODI,315,14118
96,Bangladesh,Birmingham,2017-06-15,ODI,316,14214
5,Pakistan,TheOval,2017-06-18,ODI,317,14219
32,WestIndies,PortofSpain,2017-06-23,ODI,318,14251
87,WestIndies,PortofSpain,2017-06-25,ODI,319,14338
11,WestIndies,NorthSound,2017-06-30,ODI,320,14349
3,WestIndies,NorthSound,2017-07-02,ODI,321,14352
111,WestIndies,Kingston,2017-07-06,ODI,322,14463
39,WestIndies,Kingston,2017-07-09,T20,323,14502
3,SriLanka,Galle,2017-07-26,Test,324,14505
103,SriLanka,Galle,2017-07-26,Test,325,14608
13,SriLanka,Colombo(SSC),2017-08-03,Test,326,14621
42,SriLanka,Pallekele,2017-08-12,Test,327,14663
82,SriLanka,Dambulla,2017-08-20,ODI,328,14745
4,SriLanka,Pallekele,2017-08-24,ODI,329,14749
3,SriLanka,Pallekele,2017-08-27,ODI,330,14752
131,SriLanka,Colombo(RPS),2017-08-31,ODI,331,14883
110,SriLanka,Colombo(RPS),2017-09-03,ODI,332,14993
82,SriLanka,Colombo(RPS),2017-09-06,T20,333,15075
0,Australia,Chennai,2017-09-17,ODI,334,15075
92,Australia,Kolkata,2017-09-21,ODI,335,15167
28,Australia,Indore,2017-09-24,ODI,336,15195
21,Australia,Bengaluru,2017-09-28,ODI,337,15216
39,Australia,Nagpur,2017-10-01,ODI,338,15255
22,Australia,Ranchi,2017-10-07,T20,339,15277
0,Australia,Guwahati,2017-10-10,T20,340,15277
121,NewZealand,Wankhede,2017-10-22,ODI,341,15398
29,NewZealand,Pune,2017-10-25,ODI,342,15427
113,NewZealand,Kanpur,2017-10-29,ODI,343,15540
26,NewZealand,Delhi,2017-11-01,T20,344,15566
65,NewZealand,Rajkot,2017-11-04,T20,345,15631
13,NewZealand,Thiruvananthapuram,2017-11-07,T20,346,15644
0,SriLanka,Kolkata,2017-11-16,Test,347,15644
104,SriLanka,Kolkata,2017-11-16,Test,348,15748
213,SriLanka,Nagpur,2017-11-24,Test,349,15961
243,SriLanka,Delhi,2017-12-02,Test,350,16204
50,SriLanka,Delhi,2017-12-02,Test,351,16254
5,SouthAfrica,CapeTown,2018-01-05,Test,352,16259
28,SouthAfrica,CapeTown,2018-01-05,Test,353,16287
153,SouthAfrica,Centurion,2018-01-13,Test,354,16440
